Mesh_id,Link_id,Locptid,Loctabcode,Locdir,Dir
514565,16078476,253,32,+,1
514565,16078488,254,32,+,1
514565,16078489,255,32,+,1
514565,16078492,256,32,+,1
514565,16078495,257,32,+,1
514565,16078496,257,32,+,1
514565,16078497,258,32,+,1
514565,16078498,259,32,+,1
514565,16078499,260,32,+,1
514565,16078500,260,32,+,1
514565,16078503,261,32,+,1
514565,16078504,261,32,+,1
514565,16078509,262,32,+,1
514565,16078512,263,32,+,1
514565,16078513,263,32,+,1
514565,16078514,264,32,+,1
514565,16078515,265,32,+,1
514565,16078518,266,32,+,1
514565,16078519,267,32,+,1
514565,16078520,268,32,+,1
514565,16078522,269,32,+,1
514565,16078523,270,32,+,1
514565,16078524,270,32,+,1
514565,16078525,270,32,+,1
514565,16078528,270,32,+,1
514565,16078527,270,32,+,1
514565,16078526,271,32,+,1
514565,16078696,272,32,+,1
514565,16078698,273,32,+,1
514565,16078699,274,32,+,1
514565,16078700,274,32,+,1
514565,16078703,275,32,+,1
514565,16078704,276,32,+,1
514565,16078705,277,32,+,1
514565,16078706,277,32,+,1
514565,16078707,278,32,+,1
514565,16078710,279,32,+,1
514565,16078711,280,32,+,1
514565,16078712,280,32,+,1
514565,16078733,281,32,+,1
514565,16078734,282,32,+,1
514565,16078855,283,32,+,1
514565,16222051,284,32,+,1
514565,16222052,285,32,+,1
514565,16222053,286,32,+,1
514565,16222054,287,32,+,1
514565,16222057,288,32,+,1
514565,1634471,288,32,+,1
514565,1639171,288,32,+,1
514565,16222058,289,32,+,1
514565,16222066,290,32,+,1
514565,16222067,290,32,+,1
514565,16222068,291,32,+,1
514565,16222069,291,32,+,1
514565,1625095,292,32,+,1
514565,1625113,293,32,+,1
514565,1625116,294,32,+,1
514565,1625124,295,32,+,1
514565,1625136,296,32,+,1
514565,1625137,297,32,+,1
514565,1625139,298,32,+,1
514565,1625143,299,32,+,1
514565,1625146,300,32,+,1
514565,1625159,301,32,+,1
514565,1625160,302,32,+,1
514565,1625163,303,32,+,1
514565,1625165,304,32,+,1
514565,1625166,305,32,+,1
514565,1625172,306,32,+,1
514565,1626580,307,32,+,1
514565,1626590,308,32,+,1
514565,1626592,308,32,+,1
514565,1626593,309,32,+,1
514565,1626596,310,32,+,1
514565,1626597,310,32,+,1
514565,1626603,311,32,+,1
514565,16222050,311,32,+,1
514565,1626605,312,32,+,1
514565,1626609,313,32,+,1
514565,1626634,314,32,+,1
514565,1626635,314,32,+,1
514565,1626630,314,32,+,1
514565,1626634,314,32,+,1
514565,1626639,315,32,+,1
514565,1626641,316,32,+,1
514565,1626650,317,32,+,1
514565,1626651,318,32,+,1
514565,1626652,318,32,+,1
514565,1626653,318,32,+,1
514565,1626663,318,32,+,1
514565,1626667,318,32,+,1
514565,1626668,318,32,+,1
514565,1626677,319,32,+,1
514565,1632790,319,32,+,1
514565,1628156,320,32,+,1
514565,1628159,321,32,+,1
514565,1628173,322,32,+,1
514565,1628179,323,32,+,1
514565,1628188,324,32,+,1
514565,1626595,324,32,+,1
514565,1628200,325,32,+,1
514565,1628202,326,32,+,1
514565,1628215,327,32,+,1
514565,1628216,328,32,+,1
514565,1628217,329,32,+,1
514565,1628218,330,32,+,1
514565,1628219,331,32,+,1
514565,1628220,332,32,+,1
514565,1628222,333,32,+,1
514565,1628223,333,32,+,1
514565,1629714,334,32,+,1
514565,1629715,334,32,+,1
514565,1629723,335,32,+,1
514565,1629726,336,32,+,1
514565,1629734,337,32,+,1
514565,1629738,337,32,+,1
514565,1629739,337,32,+,1
514565,1629737,338,32,+,1
514565,1629742,339,32,+,1
514565,1629749,340,32,+,1
514566,1376641,340,32,+,1
514565,1629751,341,32,+,1
514565,1629754,342,32,+,1
514566,1376643,342,32,+,1
514565,1629756,343,32,+,1
514565,91879942,343,32,+,1
514565,1629766,344,32,+,1
514565,1629767,345,32,+,1
514565,1629776,346,32,+,1
514565,1629779,347,32,+,1
514565,1629780,348,32,+,1
514565,1629786,349,32,+,1
514565,1629788,350,32,+,1
514565,1629798,351,32,+,1
514565,1629807,352,32,+,1
514565,1629808,353,32,+,1
514565,1629809,354,32,+,1
514565,1629810,354,32,+,1
514565,1631262,354,32,+,1
514565,1631263,354,32,+,1
514565,1631277,355,32,+,1
514565,1631280,356,32,+,1
514565,1631281,357,32,+,1
514565,1631282,358,32,+,1
514565,1631283,359,32,+,1
514565,1631284,359,32,+,1
514565,1631285,360,32,+,1
514566,1376652,360,32,+,1
514565,1631287,361,32,+,1
514565,1631288,361,32,+,1
514565,1631289,362,32,+,1
514565,1631290,362,32,+,1
514565,1631341,363,32,+,1
514565,1631356,364,32,+,1
514565,1632876,364,32,+,1
514565,1634382,364,32,+,1
514565,1632796,364,32,+,1
514565,1632797,364,32,+,1
514565,1632793,365,32,+,1
514565,1632794,366,32,+,1
514565,1632795,367,32,+,1
514565,1632802,368,32,+,1
514565,16078708,368,32,+,1
514565,16078709,368,32,+,1
514565,91879867,368,32,+,1
514565,91879868,368,32,+,1
514565,86695194,368,32,+,1
514565,1632807,369,32,+,1
514565,1632809,370,32,+,1
514565,1632810,371,32,+,1
514565,16222710,371,32,+,1
514565,16222711,371,32,+,1
514565,1632813,372,32,+,1
514565,1632814,373,32,+,1
514565,1632819,374,32,+,1
514565,1632820,375,32,+,1
514565,1632821,376,32,+,1
514565,1632826,377,32,+,1
